,precision,recall,f1-score,support
0,0.8907950123103804,0.993907707304105,0.939530695370826,45139.0
1,0.6104815864022662,0.07266902714550666,0.12987795690824167,5931.0
accuracy,0.8869199138437439,0.8869199138437439,0.8869199138437439,0.8869199138437439
macro avg,0.7506382993563233,0.5332883672248059,0.5347043261395339,51070.0
weighted avg,0.8582408919058175,0.8869199138437439,0.8455019036766497,51070.0
