model_name,accuracy,precision,recall,f1,source
xgboost_randomoversampling,0.7037008028196593,0.2322021072239362,0.6725678637666498,0.3452185201211596,week5_xgboost
xgboost_dengesiz,0.8869199138437439,0.6104815864022662,0.0726690271455066,0.1298779569082416,week5_xgboost
Rastgele Orman,0.8860387703152536,0.6312056737588653,0.0450177035912999,0.0840415486307837,week4_baseline
Lojistik Regresyon,0.8851772077540631,0.6006006006006006,0.0337211262856179,0.0638569604086845,week4_baseline
