,precision,recall,f1-score,support
0,0.9446091481122942,0.6917521433793393,0.7986444146045144,45139.0
1,0.22760075496835794,0.6912830888551678,0.3424514512424306,5931.0
accuracy,0.6916976698648913,0.6916976698648913,0.6916976698648913,0.6916976698648913
macro avg,0.586104951540326,0.6915176161172536,0.5705479329234725,51070.0
weighted avg,0.8613395812484468,0.6916976698648913,0.7456645738819666,51070.0
