model,accuracy,precision,recall,f1
Rastgele Orman,0.8860387703152536,0.6312056737588653,0.04501770359129995,0.08404154863078375
Lojistik Regresyon,0.8851772077540631,0.6006006006006006,0.03372112628561794,0.06385696040868455
