,precision,recall,f1-score,support
0,0.8870449573289709,0.997053545714349,0.9388376653177021,45139.0
1,0.6006006006006006,0.03372112628561794,0.06385696040868455,5931.0
accuracy,0.8851772077540631,0.8851772077540631,0.8851772077540631,0.8851772077540631
macro avg,0.7438227789647858,0.5153873359999834,0.5013473128631933,51070.0
weighted avg,0.8537788230083136,0.8851772077540631,0.8372220287244893,51070.0
